hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-15T23:00Z,11,12,40,10579,1.28,4.28,1131.44,77.01,256.68,67886.63
2026-02-16T00:00Z,64,273,673,68797,4.62,11.4,1165.06,277.39,683.83,69903.81
2026-02-16T01:00Z,64,214,580,75687,3.61,9.78,1275.62,216.4,586.52,76537.42
2026-02-16T02:00Z,64,254,653,85144,4.3,11.06,1441.49,258.01,663.32,86489.39
2026-02-16T03:00Z,63,269,634,82957,4.59,10.81,1414.44,275.19,648.59,84866.5
2026-02-16T04:00Z,62,298,673,91669,5.08,11.47,1562.1,304.69,688.1,93725.76
2026-02-16T05:00Z,64,338,742,89524,5.65,12.39,1495.39,338.75,743.65,89723.39
2026-02-16T06:00Z,62,330,687,86801,5.67,11.81,1492.28,340.4,708.65,89536.85
2026-02-16T07:00Z,63,227,451,81468,3.81,7.57,1366.91,228.52,454.03,82014.77
2026-02-16T08:00Z,63,249,514,77208,4.23,8.73,1310.83,253.65,523.6,78649.92
2026-02-16T09:00Z,64,275,510,72809,4.65,8.63,1232.31,279.27,517.91,73938.62
2026-02-16T10:00Z,64,265,593,73364,4.45,9.97,1233.01,267.23,597.98,73980.5
2026-02-16T11:00Z,63,294,659,70679,5.02,11.25,1206.13,301.02,674.74,72367.58
2026-02-16T12:00Z,63,325,657,67331,5.53,11.19,1146.38,332.01,671.17,68783.09
2026-02-16T13:00Z,63,389,676,64569,6.57,11.41,1090.08,394.03,684.75,65404.73
2026-02-16T14:00Z,63,458,713,74780,7.72,12.02,1260.69,463.28,721.21,75641.47
2026-02-16T15:00Z,63,324,593,71510,5.5,10.06,1213.4,329.86,603.73,72804.3
2026-02-16T16:00Z,63,266,596,77799,4.49,10.06,1313.06,269.37,603.54,78783.8
2026-02-16T17:00Z,61,219,493,86143,3.74,8.41,1470.02,224.23,504.78,88201.02
2026-02-16T18:00Z,65,377,731,81645,6.31,12.24,1366.82,378.68,734.26,82009.49
2026-02-16T19:00Z,32,187,339,37783,6.46,11.72,1305.86,387.79,703,78351.84
