hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-09T23:00Z,11,27,65,62381,2.9,6.99,6707.63,174.19,419.35,402458.06
2026-02-10T00:00Z,64,289,628,318404,4.91,10.66,5405.84,294.4,639.73,324350.42
2026-02-10T01:00Z,64,238,585,331015,4.05,9.96,5637.5,243.2,597.79,338249.79
2026-02-10T02:00Z,64,282,586,326800,4.78,9.93,5535.86,286.62,595.6,332151.33
2026-02-10T03:00Z,64,272,621,305426,4.61,10.53,5176.71,276.61,631.53,310602.71
2026-02-10T04:00Z,64,278,659,350213,4.7,11.15,5924.1,282.15,668.85,355445.95
2026-02-10T05:00Z,64,378,790,298423,6.4,13.38,5053.73,384.08,802.71,303224.05
2026-02-10T06:00Z,64,273,588,302659,4.61,9.94,5113.92,276.77,596.11,306835.37
2026-02-10T07:00Z,64,304,551,309700,5.16,9.35,5255.09,309.5,560.97,315305.43
2026-02-10T08:00Z,64,320,576,318286,5.41,9.74,5384.03,324.78,584.61,323041.89
2026-02-10T09:00Z,64,298,593,344158,5.05,10.05,5833.19,303.05,603.05,349991.19
2026-02-10T10:00Z,64,243,515,322948,4.12,8.73,5476.79,247.26,524.02,328607.35
2026-02-10T11:00Z,64,395,676,325632,6.7,11.46,5522.31,401.92,687.85,331338.38
2026-02-10T12:00Z,65,335,637,325251,5.61,10.68,5451.13,336.87,640.56,327068.04
2026-02-10T13:00Z,64,384,798,289122,6.53,13.57,4917.04,391.84,814.29,295022.45
2026-02-10T14:00Z,64,358,808,311854,6.07,13.69,5285.66,364.07,821.69,317139.66
2026-02-10T15:00Z,64,480,873,355900,8.17,14.85,6054.44,489.93,891.07,363266.23
2026-02-10T16:00Z,64,401,896,327875,6.77,15.12,5533.76,406.08,907.34,332025.32
2026-02-10T17:00Z,64,307,678,343783,5.18,11.44,5798.98,310.71,686.2,347938.94
2026-02-10T18:00Z,32,114,331,175093,3.92,11.37,6013.5,234.92,682.08,360809.85
