hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-17T23:00Z,11,46,59,10538,4.91,6.3,1125.05,294.66,377.94,67503.2
2026-02-18T00:00Z,64,391,487,79886,6.61,8.24,1350.95,396.73,494.14,81056.82
2026-02-18T01:00Z,63,402,469,83214,6.91,8.06,1429.38,414.31,483.37,85763.07
2026-02-18T02:00Z,63,378,444,89086,6.39,7.51,1506.95,383.65,450.63,90417.14
2026-02-18T03:00Z,63,405,468,86997,6.86,7.93,1474.11,411.75,475.8,88446.54
2026-02-18T04:00Z,63,388,489,73584,6.5,8.19,1231.88,389.73,491.18,73912.5
2026-02-18T05:00Z,62,390,576,81057,6.71,9.92,1395.53,402.87,595.01,83731.76
2026-02-18T06:00Z,63,446,549,71478,7.53,9.26,1206.04,451.52,555.79,72362.43
2026-02-18T07:00Z,31,166,205,34883,5.72,7.06,1202.17,343.25,423.89,72130.27
