hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-16T23:00Z,11,64,92,12269,6.87,9.87,1316.89,412.16,592.49,79013.24
2026-02-17T00:00Z,64,363,680,76272,6.12,11.46,1285.84,367.18,687.83,77150.66
2026-02-17T01:00Z,63,354,628,85849,6.08,10.79,1475.07,364.95,647.42,88504.12
2026-02-17T02:00Z,63,271,541,93177,4.58,9.14,1573.49,274.58,548.16,94409.57
2026-02-17T03:00Z,64,287,575,76372,4.84,9.7,1288.25,290.47,581.95,77295.25
2026-02-17T04:00Z,64,390,642,72547,6.57,10.82,1223.05,394.49,649.4,73382.75
2026-02-17T05:00Z,63,339,705,72353,5.76,11.97,1228.75,345.43,718.37,73725.11
2026-02-17T06:00Z,63,365,692,71813,6.15,11.65,1209.31,368.79,699.19,72558.74
2026-02-17T07:00Z,62,318,604,64312,5.42,10.3,1096.23,325.23,617.73,65773.64
2026-02-17T08:00Z,61,323,622,59831,5.51,10.61,1020.43,330.53,636.5,61225.58
2026-02-17T09:00Z,63,324,609,71035,5.43,10.2,1190.2,325.72,612.23,71411.9
2026-02-17T10:00Z,63,286,565,70564,4.86,9.6,1198.71,291.51,575.88,71922.54
2026-02-17T11:00Z,63,304,546,75051,5.19,9.31,1280.37,311.17,558.89,76822.18
2026-02-17T12:00Z,63,347,696,71661,5.87,11.78,1213.22,352.48,707,72793.34
2026-02-17T13:00Z,64,301,610,64409,5.05,10.23,1079.78,302.77,613.58,64786.92
2026-02-17T14:00Z,62,249,503,72099,4.24,8.56,1227.22,254.3,513.7,73633.02
2026-02-17T15:00Z,63,223,396,68031,3.79,6.72,1154.7,227.1,403.28,69281.92
2026-02-17T16:00Z,63,266,563,78798,4.49,9.5,1329.55,269.29,569.97,79773
2026-02-17T17:00Z,63,204,496,77539,3.47,8.43,1317.2,207.93,505.55,79031.82
2026-02-17T18:00Z,32,148,291,38972,5.08,9.98,1336.95,304.63,598.97,80216.81
