hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-18T23:00Z,11,37,59,14860,3.95,6.3,1586.48,237.01,377.94,95188.61
2026-02-19T00:00Z,64,540,519,98240,9.13,8.77,1660.86,547.76,526.46,99651.73
2026-02-19T01:00Z,62,466,480,91366,7.97,8.21,1561.81,477.95,492.31,93708.72
2026-02-19T02:00Z,63,577,455,81602,9.74,7.68,1377.64,584.47,460.89,82658.19
2026-02-19T03:00Z,62,575,400,79107,9.74,6.77,1339.66,584.25,406.44,80379.68
2026-02-19T04:00Z,63,481,572,78681,8.16,9.7,1334.33,489.43,582.02,80059.81
2026-02-19T05:00Z,63,480,528,79052,8.13,8.94,1338.73,487.72,536.49,80323.79
2026-02-19T06:00Z,63,426,548,74117,7.22,9.29,1255.87,433.1,557.13,75351.93
2026-02-19T07:00Z,32,196,217,32379,6.7,7.42,1107.61,402.28,445.38,66456.33
