hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-11T23:00Z,10,11,32,22948,1.31,3.8,2726.5,78.42,228.12,163589.7
2026-02-12T00:00Z,64,297,700,90258,5.01,11.81,1522.49,300.59,708.46,91349.11
2026-02-12T01:00Z,64,240,530,85709,4.06,8.97,1450.24,243.65,538.07,87014.21
2026-02-12T02:00Z,64,233,486,88038,3.93,8.19,1484.2,235.68,491.6,89052.21
2026-02-12T03:00Z,63,362,711,90342,6.12,12.02,1527.77,367.31,721.42,91666.07
2026-02-12T04:00Z,63,354,623,94071,6.01,10.58,1597.58,360.71,634.81,95854.97
2026-02-12T05:00Z,63,329,559,91571,5.63,9.56,1565.76,337.53,573.5,93945.74
2026-02-12T06:00Z,5,34,77,6025,8.95,20.26,1585.53,536.84,1215.79,95131.58
2026-02-12T07:00Z,59,230,429,88022,4.18,7.8,1601.37,251.06,468.28,96082.23
2026-02-12T08:00Z,64,412,699,82234,6.92,11.74,1381.7,415.35,704.68,82901.82
2026-02-12T09:00Z,63,386,703,83863,6.6,12.02,1433.56,395.9,721.03,86013.33
2026-02-12T10:00Z,64,322,527,90030,5.38,8.8,1503.84,322.72,528.17,90230.51
2026-02-12T11:00Z,63,475,542,77604,8.06,9.19,1316.44,483.46,551.65,78986.26
2026-02-12T12:00Z,63,396,598,76357,6.72,10.14,1295.28,403.05,608.65,77717.05
2026-02-12T13:00Z,62,382,491,89884,6.53,8.39,1536.48,391.79,503.59,92188.72
2026-02-12T14:00Z,64,382,527,73881,6.4,8.83,1238.58,384.24,530.09,74314.5
2026-02-12T15:00Z,31,132,313,34404,4.65,11.03,1212.12,279.04,661.66,72727.19
