hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-14T23:00Z,11,21,55,10633,2.27,5.94,1147.45,135.97,356.12,68846.76
2026-02-15T00:00Z,64,300,737,73677,5.08,12.48,1247.71,304.83,748.86,74862.32
2026-02-15T01:00Z,64,352,750,72518,5.96,12.69,1227.04,357.36,761.42,73622.34
2026-02-15T02:00Z,63,396,542,68894,6.78,9.27,1178.68,406.5,556.37,70720.96
2026-02-15T03:00Z,64,451,575,68127,7.64,9.74,1154.37,458.51,584.58,69262.13
2026-02-15T04:00Z,64,250,615,71900,4.22,10.39,1214.53,253.38,623.31,72871.62
2026-02-15T05:00Z,64,213,513,67172,3.6,8.67,1134.66,215.88,519.93,68079.73
2026-02-15T06:00Z,63,242,549,74965,4.11,9.32,1272.03,246.38,558.94,76321.83
2026-02-15T07:00Z,63,233,516,78565,3.97,8.79,1337.66,238.02,527.13,80259.36
2026-02-15T08:00Z,64,265,595,70458,4.46,10.01,1185.5,267.53,600.67,71129.78
