hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-06T03:00Z,23,414,627,125955,21.3,32.26,6481.39,1278.22,1935.85,388883.36
2026-02-06T04:00Z,65,1865,2146,366468,31.3,36.02,6150.51,1878.04,2161.01,369030.71
2026-02-06T05:00Z,64,1736,2207,370442,29.52,37.53,6300.03,1771.43,2252.04,378002.04
2026-02-06T06:00Z,64,1753,2255,402901,29.75,38.27,6838.49,1785.23,2296.46,410309.36
2026-02-06T07:00Z,64,2018,2462,390994,34.29,41.84,6643.91,2057.43,2510.11,398634.49
2026-02-06T08:00Z,64,1751,2192,393098,29.74,37.23,6675.88,1784.21,2233.57,400552.73
2026-02-06T09:00Z,64,1627,1824,395741,27.55,30.88,6699.9,1652.71,1852.82,401994.24
2026-02-06T10:00Z,64,1673,2127,384235,28.18,35.83,6472.23,1690.85,2149.69,388334.08
2026-02-06T11:00Z,64,1761,2096,369519,29.85,35.53,6263.03,1790.85,2131.53,375782.03
2026-02-06T12:00Z,64,1646,1855,391235,27.85,31.39,6619.88,1671.07,1883.25,397192.89
2026-02-06T13:00Z,64,1657,1803,385371,28.02,30.49,6516.98,1681.29,1829.43,391019.05
2026-02-06T14:00Z,64,1464,1848,356495,24.77,31.27,6032.06,1486.29,1876.14,361923.86
2026-02-06T15:00Z,64,1719,1879,359081,29,31.7,6058.73,1740.27,1902.25,363524.07
2026-02-06T16:00Z,64,1252,1464,310141,21.15,24.74,5240.34,1269.28,1484.2,314420.61
2026-02-06T17:00Z,64,142,130,-48976825,2.42,2.21,-833175.36,144.94,132.69,-49990521.69
2026-02-06T18:00Z,64,185,167,49667742,3.13,2.82,839218.39,187.55,169.3,50353103.69
2026-02-06T19:00Z,64,151,173,377246,2.56,2.94,6401.23,153.73,176.13,384073.98
2026-02-06T20:00Z,64,209,175,375943,3.55,2.97,6380.93,212.84,178.22,382855.67
2026-02-06T21:00Z,64,673,433,401668,11.41,7.34,6809.86,684.6,440.46,408591.35
