hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-13T23:00Z,10,25,59,9757,2.98,7.02,1161.55,178.57,421.43,69692.86
2026-02-14T00:00Z,64,327,661,63661,5.54,11.19,1078.09,332.26,671.63,64685.18
2026-02-14T01:00Z,64,245,582,64312,4.15,9.85,1088.8,248.87,591.2,65328.22
2026-02-14T02:00Z,64,272,560,69338,4.55,9.37,1160.47,273.14,562.34,69628.12
2026-02-14T03:00Z,63,341,519,73591,5.84,8.88,1259.4,350.14,532.92,75564.06
2026-02-14T04:00Z,64,457,587,77022,7.73,9.93,1302.88,463.83,595.77,78172.88
2026-02-14T05:00Z,63,373,515,73506,6.32,8.72,1245.16,379.11,523.43,74709.66
2026-02-14T06:00Z,63,302,562,66449,5.07,9.44,1115.85,304.28,566.25,66951.13
2026-02-14T07:00Z,63,299,558,67925,5.06,9.44,1149.65,303.64,566.66,68978.84
2026-02-14T08:00Z,63,334,428,67900,5.71,7.32,1161.35,342.76,439.22,69680.73
2026-02-14T09:00Z,64,391,467,71164,6.61,7.9,1203.45,396.73,473.84,72206.99
2026-02-14T10:00Z,64,331,565,69767,5.6,9.56,1180.49,336.04,573.6,70829.44
2026-02-14T11:00Z,64,325,465,75238,5.5,7.87,1272.7,329.86,471.95,76362.22
2026-02-14T12:00Z,64,315,480,78520,5.32,8.11,1327.1,319.44,486.76,79625.92
2026-02-14T13:00Z,64,369,524,71189,6.25,8.87,1205.57,374.94,532.43,72334.29
2026-02-14T14:00Z,62,341,517,68556,5.76,8.73,1157.71,345.51,523.84,69462.88
