hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-10T23:00Z,11,26,60,61924,2.79,6.44,6646.58,167.44,386.4,398794.99
2026-02-11T00:00Z,63,345,594,193730,5.84,10.05,3278,350.25,603.05,196680.2
2026-02-11T01:00Z,60,314,588,219455,5.33,9.98,3724.84,319.77,598.81,223490.24
2026-02-11T02:00Z,64,400,696,218755,6.78,11.79,3706.66,406.66,707.6,222399.89
2026-02-11T03:00Z,64,339,575,226551,5.73,9.73,3832.27,344.07,583.59,229936.17
2026-02-11T04:00Z,32,146,257,104798,4.98,8.77,3574.69,298.81,525.98,214481.41
