hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-06T23:00Z,11,15,56,53372,1.6,5.98,5698.08,96.09,358.72,341884.7
2026-02-07T00:00Z,64,219,196,380876,3.71,3.32,6453.7,222.65,199.27,387222.14
2026-02-07T01:00Z,64,205,322,341140,3.49,5.47,5800.06,209.12,328.48,348003.4
2026-02-07T02:00Z,64,239,365,289001,4.06,6.2,4905.25,243.39,371.71,294315.02
2026-02-07T03:00Z,64,240,425,255161,4.07,7.2,4324.76,244.07,432.2,259485.76
2026-02-07T04:00Z,64,221,365,265762,3.74,6.18,4501.9,224.62,370.98,270113.83
2026-02-07T05:00Z,64,200,426,342312,3.39,7.21,5793.72,203.1,432.61,347622.91
